6 1 C
6 2 S
6 3 R
6 4 R
6 5 C
6 6 S
6 7 S
6 8 S
6 9 S
6 10 S
6 11 C
6 12 S
6 13 C
6 14 S
6 15 S
6 16 S
6 17 C
6 18 C
6 19 R
6 20 C
6 21 S
6 22 C
6 23 S
6 24 S
6 25 S
6 26 S
6 27 S
6 28 C
6 29 S
6 30 R
7 1 R
7 2 S
7 3 S
7 4 R
7 5 R
7 6 S
7 7 C
7 8 S
7 9 S
7 10 S
7 11 S
7 12 S
7 13 R
7 14 C
7 15 C
7 16 S
7 17 S
7 18 C
7 19 C
7 20 R
7 21 S
7 22 S
7 23 S
7 24 S
7 25 C
7 26 S
7 27 S
7 28 S
7 29 C
7 30 S
8 1 R
8 2 S
8 3 S
8 4 S
8 5 S
8 6 R
8 7 S
8 8 S
8 9 C
8 10 R
8 11 S
8 12 C
8 13 S
8 14 S
8 15 C
8 16 C
8 17 R
8 18 C
8 19 R
8 20 S
8 21 S
8 22 S
8 23 S
8 24 S
8 25 S
8 26 R
8 27 S
8 28 C
8 29 S
8 30 R
